artistName;cantidad_reproducciones;minutos_totales;
Charli xcx;433;636.25;
Bad Bunny;432;895.56;
ROSALÍA;428;926.39;
Mac DeMarco;342;979.34;
Patricio Rey y sus Redonditos de Ricota;315;978.64;
Milo j;287;616.02;
CA7RIEL & Paco Amoroso;258;290.99;
Charly García;251;557.96;
Frank Ocean;204;558.62;
El Kuelgue;194;473.57;
Juana Aguirre;192;464.06;
Babasonicos;174;315.85;
Trueno;159;118.23;
Indio Solari;157;477.83;
Silvio Rodríguez;155;320.76;
Javiera Mena;141;471.18;
Devendra Banhart;137;297.13;
Serú Girán;130;362.92;
Usted Señalemelo;128;277.68;
Lucy Patané;126;335.5;
El Mató a un Policía Motorizado;121;285.36;
Los Besos;116;213.84;
El Plan De La Mariposa;111;258.03;
Adrián Berra;106;183.18;
Gauchito Club;100;256.01;
Miranda!;93;181.27;
Oasis;92;214.86;
Martín Buscaglia;91;184.76;
Fito Paez;91;178.97;
WOS;87;123.89;
The Strokes;85;303.58;
Illya Kuryaki & The Valderramas;84;222.89;
Fleetwood Mac;83;158.38;
Gustavo Cerati;82;195.34;
Perotá Chingó;82;121.99;
Los Piojos;81;204.12;
Intoxicados;81;245.82;
Jorge Drexler;80;206.45;
Luis Alberto Spinetta;78;137.12;
Arcade Fire;76;124.75;
Srta. Trueno Negro;76;160.85;
Astro;75;201.39;
Polo & Pan;73;107.28;
Los Fundamentalistas del Aire Acondicionado;70;272.85;
Gabo Ferro;70;145.09;
Duratierra;68;115.73;
Aretha Franklin;68;157.25;
San Pedro Bonfim;65;123.08;
Ainda;64;92.22;
Juana Molina;63;149.73;
Rosario Bléfari;61;100.6;
Viejas Locas;60;178.02;
Las Pelotas;59;150.06;
Rihanna;58;75.31;
Kali Uchis;57;111.94;
Suarez;56;151.84;
Divididos;52;120.27;
Natalia Lafourcade;52;69.98;
Arctic Monkeys;51;127.86;
Led Zeppelin;51;134.76;
The Beatles;50;92.28;
Alanis Morissette;50;155.11;
Emmanuel Horvilleur;50;58.34;
Mazzy Star;49;162.79;
Phoebe Bridgers;48;120.19;
Olivia Dean;48;117.22;
Pescado Rabioso;47;78.44;
Red Hot Chili Peppers;47;95.88;
Joni Mitchell;45;96.83;
Callejeros;44;132.88;
Tyler; The Creator;44;119.32
The Flaming Lips;44;103.54;
my bloody valentine;44;88.44;
Sui Generis;42;67.17;
The Velvet Underground;42;56.47;
Lisandro Aristimuño;41;72.89;
Virus;41;71.36;
Invisible;41;48.01;
Mora y los Metegoles;41;78.4;
Marilina Bertoldi;41;50.94;
Feli Colina;41;33.24;
Fred again..;40;80.86;
Taylor Swift;40;77.15;
Perras on the beach;39;105.63;
Nina Simone;39;80.44;
José González;38;46.94;
Bob Marley & The Wailers;38;39.38;
Onda Vaga;38;83.29;
Bizarrap;37;72.25;
Gustavo Pena - El Príncipe;37;37.93;
Underworld;35;63.26;
La Vela Puerca;35;106.93;
Pearl Jam;35;99.07;
Daft Punk;34;77.5;
George Harrison;34;71.89;
Pedro Pastor;34;59.24;
Steve Lacy;34;72.21;
Six Sex;33;65.75;
Lady Gaga;33;97.48;
Mercedes Sosa;33;78.04;
Santiago Motorizado;32;87.24;
Dillom;32;46.02;
Flea;32;77.63;
La Maquina De Hacer Pájaros;32;75.26;
Jeites;31;74.83;
Las Ligas Menores;30;42.22;
Mac Miller;30;81.36;
Valle de Muñecas;30;90.52;
Lucas Martí;29;42.4;
Rodrigo Cuevas;29;92.75;
